,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-3,Scott Davis,F,6-3 5-7 6-1,Sammy Giammalva,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
1,H2H 2-1,Hank Pfister,SF,6-4 6-2,Sammy Giammalva,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
2,H2H 2-0,Bruce Manson,SF,7-5 2-6 6-4,Scott Davis,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
3,H2H 5-3,Roscoe Tanner,QF,7-5 7-6,Hank Pfister,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
4,H2H 1-0,John Hayes,QF,6-2 6-4,Sammy Giammalva,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
5,H2H 1-0,Bernie Mitton,QF,3-6 6-4 6-4,Scott Davis,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
6,H2H 3-0,Tim Mayotte,QF,5-7 6-4 6-1,Bruce Manson,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
7,H2H 2-0,Van't Hof,R16,2-6 6-4 6-2,Roscoe Tanner,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
8,H2H 4-1,Steve Docherty,R16,6-3 6-2,Hank Pfister,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
9,H2H 1-1,Ramesh Krishnan,R16,4-6 7-6 6-3,John Hayes,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
10,H2H 3-0,John Lloyd,R16,7-6 6-3,Sammy Giammalva,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
11,H2H 1-0,Ben McKown,R16,6-1 6-2,Bernie Mitton,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
12,H2H 2-0,P. Dent,R16,6-7 6-1 6-4,Scott Davis,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
13,H2H 2-2,J. Alexander,R16,6-2 7-5,Bruce Manson,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
14,H2H 3-0,Terry Moor,R16,7-5 4-6 6-1,Tim Mayotte,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
15,H2H 1-0,Marten,R32,7-6 6-1,Roscoe Tanner,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
16,H2H 1-0,Elio Alvarez,R32,6-7 6-0 7-5,Van't Hof,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
17,H2H 1-0,Sashi Menon,R32,7-6 6-4,Steve Docherty,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
18,H2H 3-1,Jeff Borowiak,R32,6-0 6-7 6-3,Hank Pfister,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
19,H2H 1-0,Billy Martin,R32,6-2 6-1,Ramesh Krishnan,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
20,H2H 1-0,Jorge Lozano,R32,7-6 7-6,John Hayes,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
21,H2H 2-0,Ross Case,R32,7-5 6-1,Sammy Giammalva,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
22,H2H 1-0,Tony Giammalva,R32,3-6 6-1 6-1,John Lloyd,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
23,H2H 2-1,Rick Meyer,R32,7-6 6-7 6-4,Bernie Mitton,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
24,H2H 1-0,William Maze,R32,2-6 6-3 6-2,Ben McKown,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
25,H2H 1-0,Eric Fromm,R32,7-6 6-3,Scott Davis,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
26,H2H 3-0,Jim Gurfein,R32,7-6 7-6,P. Dent,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
27,H2H 1-1,George Hardie,R32,7-6 6-7 6-0,Bruce Manson,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
28,H2H 2-0,Anand Amritraj,R32,7-5 4-6 6-3,J. Alexander,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
29,H2H 2-0,Chris Mayotte,R32,6-3 7-6,Tim Mayotte,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
30,H2H 4-1,Colin Dibley,R32,6-4 6-4,Terry Moor,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
31,,T Delatte / J Hayes,F,6-3 3-6 7-6,C Mayotte / R Meyer,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
32,,C Dibley / B Manson,SF,3-6 7-6 6-4,T Delatte / J Hayes,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
33,,R Fisher / M Mitchell,SF,6-3 6-4,C Mayotte / R Meyer,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
34,,W Maze / H Pfister,QF,7-6 6-2,C Dibley / B Manson,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
35,,M Marten / C Skakle,QF,7-6 6-3,T Delatte / J Hayes,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
36,,E Fromm / C Leeds,QF,4-6 6-2 6-2,C Mayotte / R Meyer,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
37,,E Van Dillen / V Hof,QF,6-3 6-3,R Fisher / M Mitchell,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
38,,S Docherty / G Hardie,R16,6-3 6-2,C Dibley / B Manson,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
39,,J Alexander / S Menon,R16,2-6 6-3 6-4,W Maze / H Pfister,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
40,,R Case / P Dent,R16,2-6 6-3 6-4,T Delatte / J Hayes,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
41,,L Stefanki / S Stefanki,R16,6-3 7-6,M Marten / C Skakle,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
42,,M Davis / C Dunk,R16,6-3 6-4,C Mayotte / R Meyer,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
43,,B Martin / T Moor,R16,2-6 7-6 6-4,E Fromm / C Leeds,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
44,,C Strode / M Strode,R16,6-4 7-5,E Van Dillen / V Hof,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
45,,A Amritraj / J Lloyd,R16,7-5 6-3,R Fisher / M Mitchell,1981-03-23,https://matchstat.com/tennis/tournaments/m/Napa/1981,Napa
